,March_BNB,March_BNB,March_BNB,April_BNB,April_BNB,April_BNB,May_BNB,May_BNB,May_BNB,June_BNB,June_BNB,June_BNB,July_BNB,July_BNB,July_BNB
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
41,2022-03-21 21:15:00,0.014342,Neutral,2022-04-14 11:04:19,0.01449,Neutral,2022-05-19 16:33:11,0.298473,Somewhat-Bullish,2022-06-11 12:47:12,-0.266352,Somewhat-Bearish,2022-07-18 03:00:00,0.428262,Bullish
42,2022-03-22 04:43:20,-0.148357,Neutral,2022-04-14 14:19:07,-0.146394,Neutral,2022-05-19 19:30:00,-0.160279,Somewhat-Bearish,2022-06-11 13:57:18,-0.005148,Neutral,2022-07-18 18:15:19,-0.03145,Neutral
43,2022-03-22 23:15:55,0.049281,Neutral,2022-04-14 18:58:23,0.043292,Neutral,2022-05-20 07:23:23,0.021516,Neutral,2022-06-11 14:13:32,-0.010719,Neutral,2022-07-19 11:45:00,0.285938,Somewhat-Bullish
44,2022-03-23 14:34:00,0.093721,Neutral,2022-04-15 03:01:09,0.016407,Neutral,2022-05-20 18:25:41,-0.096284,Neutral,2022-06-12 06:47:15,0.037176,Neutral,2022-07-19 12:54:00,0.251784,Somewhat-Bullish
45,2022-03-23 14:34:00,0.094692,Neutral,2022-04-15 21:52:52,-0.267165,Somewhat-Bearish,2022-05-20 20:15:00,-0.037502,Neutral,2022-06-13 03:06:34,-0.069897,Neutral,2022-07-19 15:47:12,-0.118288,Neutral
46,2022-03-23 15:13:00,0.055854,Neutral,2022-04-16 02:11:00,-0.089377,Neutral,2022-05-21 04:15:09,-0.03361,Neutral,2022-06-13 12:38:46,-0.220283,Somewhat-Bearish,2022-07-19 15:47:12,-0.118288,Neutral
47,2022-03-23 16:19:08,-0.12055,Neutral,2022-04-16 03:10:08,0.02332,Neutral,2022-05-21 22:12:38,0.126026,Neutral,2022-06-13 14:27:00,0.059171,Neutral,2022-07-20 20:50:00,0.131805,Neutral
48,2022-03-23 21:04:20,0.065109,Neutral,2022-04-17 14:00:00,0.078652,Neutral,2022-05-22 20:09:03,-0.081075,Neutral,2022-06-13 14:41:18,0.004024,Neutral,2022-07-21 02:48:33,0.016473,Neutral
49,2022-03-24 12:53:04,0.108475,Neutral,2022-04-18 04:21:34,0.022174,Neutral,2022-05-23 06:04:31,0.025774,Neutral,2022-06-13 15:24:33,-0.19055,Somewhat-Bearish,2022-07-21 17:09:09,0.259075,Somewhat-Bullish
50,2022-03-24 14:01:41,0.026741,Neutral,2022-04-18 06:35:09,-0.074118,Neutral,2022-05-23 06:59:01,-0.2272,Somewhat-Bearish,2022-06-13 15:35:32,-0.210489,Somewhat-Bearish,2022-07-22 11:29:01,0.064187,Neutral
