,March_BTC,March_BTC,March_BTC,April_BTC,April_BTC,April_BTC,May_BTC,May_BTC,May_BTC,June_BTC,June_BTC,June_BTC,July_BTC,July_BTC,July_BTC
,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label,time_published,overall_sentiment_score,overall_sentiment_label
96,,,,2022-04-01 18:54:00,-0.019266,Neutral,2022-05-02 19:53:00,-0.199539,Somewhat-Bearish,2022-06-02 11:30:00,-0.088202,Neutral,2022-07-01 19:58:32,-0.034251,Neutral
97,,,,2022-04-01 19:11:28,-0.001403,Neutral,2022-05-02 20:14:29,0.06761,Neutral,2022-06-02 11:39:31,-0.137225,Neutral,2022-07-01 20:11:00,-0.262222,Somewhat-Bearish
98,,,,2022-04-01 19:15:00,0.00969,Neutral,2022-05-02 20:32:00,-0.003862,Neutral,2022-06-02 12:00:26,0.008981,Neutral,2022-07-01 20:13:53,0.073068,Neutral
99,,,,2022-04-01 20:00:00,0.151421,Somewhat-Bullish,2022-05-02 20:35:00,-0.120903,Neutral,2022-06-02 12:21:00,-0.031988,Neutral,2022-07-01 20:20:00,0.001238,Neutral
100,,,,2022-04-01 20:30:00,-0.068017,Neutral,2022-05-02 20:37:51,-0.13485,Neutral,2022-06-02 12:32:20,0.078946,Neutral,2022-07-01 20:25:00,-0.115296,Neutral
101,,,,2022-04-01 20:44:07,0.071297,Neutral,2022-05-02 20:45:00,-0.005105,Neutral,2022-06-02 13:03:37,0.042304,Neutral,2022-07-01 20:36:00,-0.061171,Neutral
102,,,,2022-04-01 20:59:27,-0.033672,Neutral,2022-05-02 20:45:00,-0.002482,Neutral,2022-06-02 13:12:03,-0.015321,Neutral,2022-07-01 20:43:14,-0.024588,Neutral
103,,,,2022-04-01 21:00:00,-0.034595,Neutral,2022-05-02 20:47:18,0.197679,Somewhat-Bullish,2022-06-02 13:13:00,0.007361,Neutral,2022-07-01 20:53:13,-0.062714,Neutral
104,,,,2022-04-01 22:11:44,-0.099033,Neutral,2022-05-02 21:04:00,0.108714,Neutral,2022-06-02 13:13:42,-0.275961,Somewhat-Bearish,2022-07-01 21:10:00,-0.122267,Neutral
105,,,,2022-04-01 22:19:29,-0.161931,Somewhat-Bearish,2022-05-02 21:04:00,0.108714,Neutral,2022-06-02 13:15:00,-0.075843,Neutral,2022-07-01 21:15:34,-0.392658,Bearish
