Date,Open,High,Low,Close,Volume,Market Cap
4/9/2021,2080.39,2100,2047.57,2066.87,426387.4379,426387.4379
4/10/2021,2067.19,2200,2058,2133.49,655458.2089,655458.2089
4/11/2021,2133.49,2165.02,2113.4,2151.36,392265.5077,392265.5077
4/12/2021,2151.42,2203.46,2102,2137.69,579093.3569,579093.3569
4/13/2021,2137.86,2318,2135.53,2299.19,782608.6209,782608.6209
4/14/2021,2299.19,2447.29,2281.33,2432.6,972931.6087,972931.6087
4/15/2021,2432.59,2543.47,2400,2514.04,681950.9665,681950.9665
4/16/2021,2514.04,2548.29,2300,2422.67,999163.7521,999163.7521
4/17/2021,2422.38,2495,2310,2317.6,624232.2557,624232.2557
4/18/2021,2317.65,2340,1946.8,2235.64,1475383.692,1475383.692
4/19/2021,2235.65,2300,2080,2161.12,820592.2656,820592.2656
4/20/2021,2161.12,2346.62,2055,2330.03,992240.809,992240.809
4/21/2021,2330.26,2469.54,2235.16,2357.06,1177885.862,1177885.862
4/22/2021,2357.06,2644.47,2303.44,2397.94,2220753.097,2220753.097
4/23/2021,2397.94,2442.89,2107,2367.39,2532242.442,2532242.442
4/24/2021,2367.39,2368.74,2154.8,2213.35,997688.9462,997688.9462
4/25/2021,2214.08,2356.64,2168,2320.49,857517.3822,857517.3822
4/26/2021,2320.44,2542.8,2303.64,2532.6,1076469.014,1076469.014
4/27/2021,2532.06,2680,2480.29,2666.13,771728.4645,771728.4645
4/28/2021,2666.13,2760,2559.44,2748.24,999383.1852,999383.1852
4/29/2021,2748.23,2798,2668,2757.04,863890.0107,863890.0107
4/30/2021,2757.04,2798.3,2723.09,2772.42,695339.2048,695339.2048
5/1/2021,2772.42,2954.28,2743.41,2944.77,690260.0774,690260.0774
5/2/2021,2944.83,2985,2852.26,2949.56,571982.5445,571982.5445
5/3/2021,2949.33,3454,2949.32,3431.04,1329088.063,1329088.063
5/4/2021,3431.04,3527,3160,3239.01,1826039.386,1826039.386
5/5/2021,3239.01,3549.34,3200.23,3524.26,1174816.736,1174816.736
5/6/2021,3524.33,3605.4,3376.47,3489.73,920592.5771,920592.5771
5/7/2021,3489.74,3587,3353.23,3479.53,760544.6478,760544.6478
5/8/2021,3479.79,3958.33,3449.27,3910.26,1130467.549,1130467.549
5/9/2021,3910.26,3983.65,3726.08,3923.95,1000401.008,1000401.008
5/10/2021,3923.95,4208,3650,3945.88,1505897.926,1505897.926
5/11/2021,3946.63,4180.22,3771.64,4173.45,1095927.104,1095927.104
5/12/2021,4173.46,4372.72,3701.58,3823.21,1601842.74,1601842.74
5/13/2021,3810.15,4034.77,3500,3717.91,2068708.174,2068708.174
5/14/2021,3717.92,4173.28,3691.35,4075.01,1153390.426,1153390.426
5/15/2021,4075.02,4134.05,3632,3646.68,1039174.881,1039174.881
5/16/2021,3646.24,3879,3343.06,3582.1,1324065.659,1324065.659
5/17/2021,3581.81,3587.06,3102,3282.51,1904012.44,1904012.44
5/18/2021,3282.25,3565.71,3240,3375.07,1287110.841,1287110.841
5/19/2021,3375.08,3441.73,1888,2438.92,4309836.319,4309836.319
5/20/2021,2438.92,2990.05,2155,2768.62,2942777.93,2942777.93
5/21/2021,2767.87,2938.54,2101,2430.98,2727031.935,2727031.935
5/22/2021,2430.98,2485,2145,2294.87,1684318.012,1684318.012
5/23/2021,2295.45,2381.57,1728.74,2096.39,2914548.731,2914548.731
5/24/2021,2096.63,2675,2079.94,2648.43,2186632.922,2186632.922
5/25/2021,2647.92,2750,2378.54,2705.11,2115349.504,2115349.504
5/26/2021,2705.1,2910,2643,2884.94,1583799.593,1583799.593
5/27/2021,2884.82,2889.74,2633.68,2742.23,1099029.912,1099029.912
5/28/2021,2742.23,2762.45,2327.38,2412.1,1554584.614,1554584.614
5/29/2021,2412.34,2574.27,2204.1,2278.74,1379427.189,1379427.189
5/30/2021,2278.74,2476.42,2180.53,2385.98,1151113.199,1151113.199
5/31/2021,2385.82,2720,2271.44,2706.15,1307958.041,1307958.041
6/1/2021,2706.15,2740,2523.74,2634.57,1179577.108,1179577.108
6/2/2021,2634.31,2802.99,2550,2706.22,970070.5356,970070.5356
6/3/2021,2706.21,2891.95,2662.4,2857.25,1024290.894,1024290.894
6/4/2021,2857.25,2860,2552,2689.51,1188314.112,1188314.112
6/5/2021,2689.54,2816.87,2552.23,2627.73,961824.1241,961824.1241
6/6/2021,2627.63,2745,2614,2711.92,673792.6937,673792.6937
6/7/2021,2711.92,2847.55,2570,2592.05,1152128.079,1152128.079
6/8/2021,2592.05,2620.99,2304.91,2507.23,1693747.428,1693747.428
6/9/2021,2507.43,2626.63,2405.28,2610.18,1276718.24,1276718.24
